#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               -1.0 C
#  Switchcard temperature:              24.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	1.02722E-05	1.18000E+02	8.84831E+04	3.02709E+01	-4.27165E+04	1.77310E+01	7.45168E+01	-2.28957E-09
0.00000E+00	9.01961E-06	1.19000E+02	8.91166E+04	2.25436E+01	-4.24903E+04	2.68185E+01	7.49135E+01	-2.32923E-09
0.00000E+00	9.23530E-06	1.20000E+02	8.75780E+04	2.62075E+01	-4.13904E+04	1.87387E+01	7.69043E+01	-2.20117E-09
0.00000E+00	1.01976E-05	1.21000E+02	9.07332E+04	2.67194E+01	-4.35483E+04	2.88481E+01	7.30936E+01	-2.10692E-09
0.00000E+00	1.01478E-05	1.22000E+02	8.89445E+04	2.52797E+01	-4.23173E+04	1.62526E+01	7.52198E+01	-2.05792E-09
0.00000E+00	1.02971E-05	1.23000E+02	9.24096E+04	1.26994E+01	-4.52620E+04	2.66877E+01	7.03261E+01	-1.97243E-09
0.00000E+00	1.08363E-05	1.24000E+02	9.02703E+04	2.59448E+01	-4.32310E+04	3.01511E+01	7.36300E+01	-1.88385E-09
0.00000E+00	1.09441E-05	1.25000E+02	9.17038E+04	2.37564E+01	-4.45370E+04	5.52290E+00	7.14708E+01	-2.19181E-09
0.00000E+00	1.11764E-05	1.26000E+02	8.99919E+04	2.65982E+01	-4.35874E+04	1.46614E+01	7.30280E+01	-2.14830E-09
0.00000E+00	1.05460E-05	1.27000E+02	8.93163E+04	2.40159E+01	-4.22383E+04	2.07778E+01	7.53605E+01	-1.95856E-09
0.00000E+00	1.11017E-05	1.28000E+02	9.21467E+04	2.19598E+01	-4.50636E+04	2.24357E+01	7.06357E+01	-1.83442E-09
0.00000E+00	1.09773E-05	1.29000E+02	9.24223E+04	2.67061E+01	-4.51828E+04	1.88282E+01	7.04493E+01	-1.93471E-09
0.00000E+00	1.07036E-05	1.30000E+02	9.07270E+04	2.51655E+01	-4.32465E+04	2.22014E+01	7.36036E+01	-1.90869E-09
