#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               -1.0 C
#  Switchcard temperature:              24.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#Voltage	#Channel	#C_parallel	#Tot. curr.	#Act. vlt.
#[V]     	#         	#[pF]       #[nA]        	#[V]
2.50000E+01	5.00000E+01	7.14794E+01	-6.11954E-09	2.49847E+01
2.50000E+01	5.10000E+01	6.76862E+01	-5.07333E-09	2.49849E+01
2.50000E+01	5.20000E+01	7.32665E+01	-4.66234E-09	2.49850E+01
2.50000E+01	5.30000E+01	6.87184E+01	-5.60191E-09	2.49846E+01
2.50000E+01	5.40000E+01	6.70696E+01	-4.63860E-09	2.49849E+01
2.50000E+01	5.50000E+01	6.99191E+01	-7.64715E-09	2.49849E+01
2.50000E+01	5.60000E+01	7.11087E+01	-3.82391E-09	2.49851E+01
2.50000E+01	5.70000E+01	6.52994E+01	-8.44433E-09	2.49855E+01
2.50000E+01	5.80000E+01	7.16098E+01	-4.04152E-09	2.49853E+01
2.50000E+01	5.90000E+01	7.21493E+01	-8.63212E-09	2.49852E+01
2.50000E+01	6.00000E+01	7.40825E+01	-3.35512E-09	2.49854E+01
2.50000E+01	6.10000E+01	7.17677E+01	-2.61752E-09	2.49856E+01
2.50000E+01	6.20000E+01	6.82808E+01	-3.38522E-09	2.49851E+01
2.50000E+01	6.30000E+01	7.08972E+01	-3.52678E-09	2.49849E+01
2.50000E+01	6.40000E+01	7.05969E+01	-7.29593E-09	2.49846E+01
2.50000E+01	6.50000E+01	6.97654E+01	-3.20616E-09	2.49851E+01
2.50000E+01	6.60000E+01	7.11652E+01	-6.91730E-09	2.49851E+01
2.50000E+01	6.70000E+01	7.09836E+01	-4.75383E-09	2.49848E+01
2.50000E+01	6.80000E+01	6.54334E+01	-7.44547E-09	2.49851E+01
2.50000E+01	6.90000E+01	7.03058E+01	-2.81108E-09	2.49853E+01
2.50000E+01	7.00000E+01	7.30220E+01	-2.57328E-09	2.49850E+01
2.50000E+01	7.10000E+01	7.28707E+01	-5.36100E-09	2.49849E+01
2.50000E+01	7.20000E+01	7.27361E+01	-1.73222E-09	2.49851E+01
2.50000E+01	7.30000E+01	7.31965E+01	-1.42678E-09	2.49848E+01
2.50000E+01	7.40000E+01	7.29123E+01	-3.88962E-09	2.49849E+01
2.50000E+01	7.50000E+01	7.10578E+01	9.09910E-10	2.49845E+01
2.50000E+01	7.60000E+01	7.20752E+01	-2.56324E-09	2.49849E+01
2.50000E+01	7.70000E+01	6.86034E+01	-2.66674E-09	2.49849E+01
2.50000E+01	7.80000E+01	6.73318E+01	-2.72421E-09	2.49852E+01
2.50000E+01	7.90000E+01	6.81072E+01	-5.14756E-09	2.49851E+01
2.50000E+01	8.00000E+01	6.80857E+01	-3.10066E-09	2.49849E+01
2.50000E+01	8.10000E+01	6.96446E+01	-6.45366E-09	2.49851E+01
2.50000E+01	8.20000E+01	7.29525E+01	-5.58571E-10	2.49851E+01
2.50000E+01	8.30000E+01	7.44679E+01	-8.68517E-09	2.49854E+01
2.50000E+01	8.40000E+01	7.57593E+01	-8.94095E-09	2.49847E+01
2.50000E+01	8.50000E+01	7.47437E+01	-8.70604E-09	2.49855E+01
2.50000E+01	8.60000E+01	7.43856E+01	-6.96063E-09	2.49859E+01
2.50000E+01	8.70000E+01	7.39178E+01	-6.93317E-09	2.49855E+01
2.50000E+01	8.80000E+01	7.05231E+01	-6.26932E-09	2.49856E+01
2.50000E+01	8.90000E+01	6.99993E+01	-1.15865E-09	2.49851E+01
2.50000E+01	9.00000E+01	7.17929E+01	-3.42021E-09	2.49855E+01
2.50000E+01	9.10000E+01	7.32920E+01	-6.94493E-09	2.49859E+01
2.50000E+01	9.20000E+01	6.98574E+01	-2.51620E-09	2.49858E+01
2.50000E+01	9.30000E+01	7.42787E+01	-5.30881E-09	2.49858E+01
2.50000E+01	9.40000E+01	7.24430E+01	-8.79818E-09	2.49860E+01
2.50000E+01	9.50000E+01	7.52959E+01	-9.28288E-09	2.49860E+01
2.50000E+01	9.60000E+01	7.37446E+01	-7.80983E-09	2.49855E+01
2.50000E+01	9.70000E+01	7.44978E+01	-3.33108E-09	2.49855E+01
2.50000E+01	9.80000E+01	7.43563E+01	-4.63962E-09	2.49858E+01
2.50000E+01	9.90000E+01	7.43675E+01	1.34018E-09	2.49859E+01
2.50000E+01	1.00000E+02	7.10105E+01	-6.17631E-10	2.49860E+01
2.50000E+01	1.01000E+02	7.10910E+01	-2.55221E-09	2.49860E+01
2.50000E+01	1.02000E+02	7.11728E+01	-8.89187E-09	2.49867E+01
2.50000E+01	1.03000E+02	6.96170E+01	-2.80584E-09	2.49861E+01
