#
# This is an automatically generated geo file
# Script: ../bin/create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


119	-1.49	+4.73	12	SIZE:0.45,X_STRETCH:9.16,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
120	-1.50	+4.94	12	SIZE:0.45,X_STRETCH:9.25,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
121	-1.52	+5.14	12	SIZE:0.45,X_STRETCH:9.34,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
122	-1.53	+5.35	12	SIZE:0.45,X_STRETCH:9.44,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
123	-1.55	+5.55	12	SIZE:0.45,X_STRETCH:9.53,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
124	-1.56	+5.76	12	SIZE:0.45,X_STRETCH:9.62,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
125	-1.58	+5.96	12	SIZE:0.45,X_STRETCH:9.72,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
126	-1.59	+6.17	12	SIZE:0.45,X_STRETCH:9.81,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
127	-1.61	+6.38	12	SIZE:0.45,X_STRETCH:9.91,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
128	-1.62	+6.58	12	SIZE:0.45,X_STRETCH:10.00,Y_STRETCH:0.45,BEND:0.05,ROTATE:4.00
129	+0.75	-6.37	12	SIZE:0.45,X_STRETCH:4.09,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
130	+0.76	-6.16	12	SIZE:0.45,X_STRETCH:4.19,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
131	+0.78	-5.95	12	SIZE:0.45,X_STRETCH:4.28,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
132	+0.79	-5.75	12	SIZE:0.45,X_STRETCH:4.38,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
133	+0.81	-5.54	12	SIZE:0.45,X_STRETCH:4.47,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
134	+0.82	-5.34	12	SIZE:0.45,X_STRETCH:4.56,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
135	+0.84	-5.13	12	SIZE:0.45,X_STRETCH:4.66,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
136	+0.85	-4.93	12	SIZE:0.45,X_STRETCH:4.75,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
137	+0.87	-4.72	12	SIZE:0.45,X_STRETCH:4.84,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
138	+0.88	-4.52	12	SIZE:0.45,X_STRETCH:4.94,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
139	+0.90	-4.31	12	SIZE:0.45,X_STRETCH:5.03,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
140	+0.91	-4.10	12	SIZE:0.45,X_STRETCH:5.12,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
