#
# This is an automatically generated geo file
# Script: ../create_regular_geofile.py
#
# draws all available cell shapes
#
# padnumber	xposition	yposition	size	type	rotation


367	2.871428571428571	-3.4000000000000004	0.4	12	45
368	2.2714285714285714	-4.2	0.4	12	45
369	2.871428571428571	-4.2	0.4	12	45
370	2.2714285714285714	-4.6000000000000005	0.4	12	45
371	2.871428571428571	-4.6000000000000005	0.4	12	45
372	2.2714285714285714	-5.0	0.4	12	45
373	2.871428571428571	-5.0	0.4	12	45
374	2.2714285714285714	-5.4	0.4	12	45
375	2.871428571428571	-5.4	0.4	12	45
376	2.2714285714285714	-6.2	0.4	12	45
377	2.871428571428571	-6.2	0.4	12	45
378	2.2714285714285714	-6.6000000000000005	0.4	12	45
379	2.871428571428571	-6.6000000000000005	0.4	12	45
380	2.2714285714285714	-7.0	0.4	12	45
381	2.871428571428571	-7.0	0.4	12	45
382	2.2714285714285714	-7.4	0.4	12	45
383	2.871428571428571	-7.4	0.4	12	45
384	3.9857142857142867	7.8	0.4	12	45
385	4.585714285714286	7.8	0.4	12	45
386	3.9857142857142867	7.3999999999999995	0.4	12	45
387	4.585714285714286	7.3999999999999995	0.4	12	45
388	3.9857142857142867	7.0	0.4	12	45
389	4.585714285714286	7.0	0.4	12	45
390	3.9857142857142867	6.6	0.4	12	45
391	4.585714285714286	6.6	0.4	12	45
392	3.9857142857142867	5.8	0.4	12	45
393	4.585714285714286	5.8	0.4	12	45
394	3.9857142857142867	5.3999999999999995	0.4	12	45
395	4.585714285714286	5.3999999999999995	0.4	12	45
396	3.9857142857142867	5.0	0.4	12	45
397	4.585714285714286	5.0	0.4	12	45
398	3.9857142857142867	4.6	0.4	12	45
399	4.585714285714286	4.6	0.4	12	45
400	3.9857142857142867	3.8	0.4	12	45
401	4.585714285714286	3.8	0.4	12	45
402	3.9857142857142867	3.4	0.4	12	45
403	4.585714285714286	3.4	0.4	12	45
404	3.9857142857142867	3.0	0.4	12	45
405	4.585714285714286	3.0	0.4	12	45
406	3.9857142857142867	2.5999999999999996	0.4	12	45
407	4.585714285714286	2.5999999999999996	0.4	12	45
408	3.9857142857142867	1.8	0.4	12	45
409	4.585714285714286	1.8	0.4	12	45
410	3.9857142857142867	1.4	0.4	12	45
411	4.585714285714286	1.4	0.4	12	45
412	3.9857142857142867	1.0	0.4	12	45
413	4.585714285714286	1.0	0.4	12	45
414	3.9857142857142867	0.5999999999999999	0.4	12	45
415	4.585714285714286	0.5999999999999999	0.4	12	45
416	3.9857142857142867	-0.19999999999999996	0.4	12	45
417	4.585714285714286	-0.19999999999999996	0.4	12	45
418	3.9857142857142867	-0.6	0.4	12	45
419	4.585714285714286	-0.6	0.4	12	45
420	3.9857142857142867	-1.0	0.4	12	45
421	4.585714285714286	-1.0	0.4	12	45
422	3.9857142857142867	-1.4000000000000001	0.4	12	45
423	4.585714285714286	-1.4000000000000001	0.4	12	45
424	3.9857142857142867	-2.2	0.4	12	45
425	4.585714285714286	-2.2	0.4	12	45
426	3.9857142857142867	-2.6	0.4	12	45
427	4.585714285714286	-2.6	0.4	12	45
428	3.9857142857142867	-3.0	0.4	12	45
429	4.585714285714286	-3.0	0.4	12	45
430	3.9857142857142867	-3.4000000000000004	0.4	12	45
431	4.585714285714286	-3.4000000000000004	0.4	12	45
432	3.9857142857142867	-4.2	0.4	12	45
433	4.585714285714286	-4.2	0.4	12	45
434	3.9857142857142867	-4.6000000000000005	0.4	12	45
435	4.585714285714286	-4.6000000000000005	0.4	12	45
436	3.9857142857142867	-5.0	0.4	12	45
437	4.585714285714286	-5.0	0.4	12	45
438	3.9857142857142867	-5.4	0.4	12	45
439	4.585714285714286	-5.4	0.4	12	45
440	3.9857142857142867	-6.2	0.4	12	45
441	4.585714285714286	-6.2	0.4	12	45
442	3.9857142857142867	-6.6000000000000005	0.4	12	45
443	4.585714285714286	-6.6000000000000005	0.4	12	45
444	3.9857142857142867	-7.0	0.4	12	45
445	4.585714285714286	-7.0	0.4	12	45
446	3.9857142857142867	-7.4	0.4	12	45
447	4.585714285714286	-7.4	0.4	12	45
448	5.7	7.8	0.4	12	45
449	6.3	7.8	0.4	12	45
450	5.7	7.3999999999999995	0.4	12	45
451	6.3	7.3999999999999995	0.4	12	45
452	5.7	7.0	0.4	12	45
453	6.3	7.0	0.4	12	45
454	5.7	6.6	0.4	12	45
455	6.3	6.6	0.4	12	45
456	5.7	5.8	0.4	12	45
457	6.3	5.8	0.4	12	45
458	5.7	5.3999999999999995	0.4	12	45
459	6.3	5.3999999999999995	0.4	12	45
460	5.7	5.0	0.4	12	45
461	6.3	5.0	0.4	12	45
462	5.7	4.6	0.4	12	45
463	6.3	4.6	0.4	12	45
464	5.7	3.8	0.4	12	45
465	6.3	3.8	0.4	12	45
466	5.7	3.4	0.4	12	45
